RGB,R,G,B,Location,Frequency,NoteName
"(1.0, 0.7, 0.95)",1.0,0.7,0.95,1,58.27,A#/Bb
"(1.0, 0.75, 0.9)",1.0,0.75,0.9,1,58.27,A#/Bb
"(1.0, 0.75, 0.95)",1.0,0.75,0.95,1,58.27,A#/Bb
"(1.0, 0.8, 0.9)",1.0,0.8,0.9,1,58.27,A#/Bb
"(1.0, 0.8, 0.95)",1.0,0.8,0.95,1,58.27,A#/Bb
"(1.0, 0.85, 0.9)",1.0,0.85,0.9,1,58.27,A#/Bb
"(1.0, 0.85, 0.95)",1.0,0.85,0.95,1,58.27,A#/Bb
"(1.0, 0.9, 0.95)",1.0,0.9,0.95,1,58.27,A#/Bb
"(1.0, 0.0, 0.85)",1.0,0.0,0.85,2,61.74,B
"(1.0, 0.05, 0.85)",1.0,0.05,0.85,2,61.74,B
"(1.0, 0.1, 0.85)",1.0,0.1,0.85,2,61.74,B
"(1.0, 0.15, 0.85)",1.0,0.15,0.85,2,61.74,B
"(1.0, 0.2, 0.85)",1.0,0.2,0.85,2,61.74,B
"(1.0, 0.25, 0.85)",1.0,0.25,0.85,2,61.74,B
"(1.0, 0.3, 0.85)",1.0,0.3,0.85,2,61.74,B
"(1.0, 0.35, 0.85)",1.0,0.35,0.85,2,61.74,B
"(1.0, 0.4, 0.85)",1.0,0.4,0.85,2,61.74,B
"(1.0, 0.45, 0.85)",1.0,0.45,0.85,2,61.74,B
"(1.0, 0.5, 0.85)",1.0,0.5,0.85,2,61.74,B
"(1.0, 0.55, 0.85)",1.0,0.55,0.85,2,61.74,B
"(1.0, 0.6, 0.85)",1.0,0.6,0.85,2,61.74,B
"(1.0, 0.65, 0.85)",1.0,0.65,0.85,2,61.74,B
"(1.0, 0.7, 0.85)",1.0,0.7,0.85,2,61.74,B
"(1.0, 0.75, 0.85)",1.0,0.75,0.85,2,61.74,B
"(1.0, 0.8, 0.85)",1.0,0.8,0.85,2,61.74,B
"(1.0, 0.0, 0.8)",1.0,0.0,0.8,3,65.41,C
"(1.0, 0.05, 0.8)",1.0,0.05,0.8,3,65.41,C
"(1.0, 0.1, 0.8)",1.0,0.1,0.8,3,65.41,C
"(1.0, 0.15, 0.8)",1.0,0.15,0.8,3,65.41,C
"(1.0, 0.2, 0.8)",1.0,0.2,0.8,3,65.41,C
"(1.0, 0.25, 0.8)",1.0,0.25,0.8,3,65.41,C
"(1.0, 0.3, 0.8)",1.0,0.3,0.8,3,65.41,C
"(1.0, 0.35, 0.8)",1.0,0.35,0.8,3,65.41,C
"(1.0, 0.4, 0.8)",1.0,0.4,0.8,3,65.41,C
"(1.0, 0.45, 0.8)",1.0,0.45,0.8,3,65.41,C
"(1.0, 0.5, 0.8)",1.0,0.5,0.8,3,65.41,C
"(1.0, 0.55, 0.8)",1.0,0.55,0.8,3,65.41,C
"(1.0, 0.6, 0.8)",1.0,0.6,0.8,3,65.41,C
"(1.0, 0.65, 0.8)",1.0,0.65,0.8,3,65.41,C
"(1.0, 0.7, 0.8)",1.0,0.7,0.8,3,65.41,C
"(1.0, 0.75, 0.8)",1.0,0.75,0.8,3,65.41,C
"(1.0, 0.0, 0.7)",1.0,0.0,0.7,4,69.3,C#/Db
"(1.0, 0.0, 0.75)",1.0,0.0,0.75,4,69.3,C#/Db
"(1.0, 0.05, 0.7)",1.0,0.05,0.7,4,69.3,C#/Db
"(1.0, 0.05, 0.75)",1.0,0.05,0.75,4,69.3,C#/Db
"(1.0, 0.1, 0.7)",1.0,0.1,0.7,4,69.3,C#/Db
"(1.0, 0.1, 0.75)",1.0,0.1,0.75,4,69.3,C#/Db
"(1.0, 0.15, 0.7)",1.0,0.15,0.7,4,69.3,C#/Db
"(1.0, 0.15, 0.75)",1.0,0.15,0.75,4,69.3,C#/Db
"(1.0, 0.2, 0.7)",1.0,0.2,0.7,4,69.3,C#/Db
"(1.0, 0.2, 0.75)",1.0,0.2,0.75,4,69.3,C#/Db
"(1.0, 0.25, 0.7)",1.0,0.25,0.7,4,69.3,C#/Db
"(1.0, 0.25, 0.75)",1.0,0.25,0.75,4,69.3,C#/Db
"(1.0, 0.3, 0.7)",1.0,0.3,0.7,4,69.3,C#/Db
"(1.0, 0.3, 0.75)",1.0,0.3,0.75,4,69.3,C#/Db
"(1.0, 0.35, 0.7)",1.0,0.35,0.7,4,69.3,C#/Db
"(1.0, 0.35, 0.75)",1.0,0.35,0.75,4,69.3,C#/Db
"(1.0, 0.4, 0.7)",1.0,0.4,0.7,4,69.3,C#/Db
"(1.0, 0.4, 0.75)",1.0,0.4,0.75,4,69.3,C#/Db
"(1.0, 0.45, 0.7)",1.0,0.45,0.7,4,69.3,C#/Db
"(1.0, 0.45, 0.75)",1.0,0.45,0.75,4,69.3,C#/Db
"(1.0, 0.5, 0.7)",1.0,0.5,0.7,4,69.3,C#/Db
"(1.0, 0.5, 0.75)",1.0,0.5,0.75,4,69.3,C#/Db
"(1.0, 0.55, 0.7)",1.0,0.55,0.7,4,69.3,C#/Db
"(1.0, 0.55, 0.75)",1.0,0.55,0.75,4,69.3,C#/Db
"(1.0, 0.6, 0.7)",1.0,0.6,0.7,4,69.3,C#/Db
"(1.0, 0.6, 0.75)",1.0,0.6,0.75,4,69.3,C#/Db
"(1.0, 0.65, 0.7)",1.0,0.65,0.7,4,69.3,C#/Db
"(1.0, 0.65, 0.75)",1.0,0.65,0.75,4,69.3,C#/Db
"(1.0, 0.7, 0.75)",1.0,0.7,0.75,4,69.3,C#/Db
"(1.0, 0.0, 0.65)",1.0,0.0,0.65,5,73.42,D
"(1.0, 0.05, 0.65)",1.0,0.05,0.65,5,73.42,D
"(1.0, 0.1, 0.65)",1.0,0.1,0.65,5,73.42,D
"(1.0, 0.15, 0.65)",1.0,0.15,0.65,5,73.42,D
"(1.0, 0.2, 0.65)",1.0,0.2,0.65,5,73.42,D
"(1.0, 0.25, 0.65)",1.0,0.25,0.65,5,73.42,D
"(1.0, 0.3, 0.65)",1.0,0.3,0.65,5,73.42,D
"(1.0, 0.35, 0.65)",1.0,0.35,0.65,5,73.42,D
"(1.0, 0.4, 0.65)",1.0,0.4,0.65,5,73.42,D
"(1.0, 0.45, 0.65)",1.0,0.45,0.65,5,73.42,D
"(1.0, 0.5, 0.65)",1.0,0.5,0.65,5,73.42,D
"(1.0, 0.55, 0.65)",1.0,0.55,0.65,5,73.42,D
"(1.0, 0.6, 0.65)",1.0,0.6,0.65,5,73.42,D
"(1.0, 0.0, 0.6)",1.0,0.0,0.6,6,77.78,D#/Eb
"(1.0, 0.05, 0.6)",1.0,0.05,0.6,6,77.78,D#/Eb
"(1.0, 0.1, 0.6)",1.0,0.1,0.6,6,77.78,D#/Eb
"(1.0, 0.15, 0.6)",1.0,0.15,0.6,6,77.78,D#/Eb
"(1.0, 0.2, 0.6)",1.0,0.2,0.6,6,77.78,D#/Eb
"(1.0, 0.25, 0.6)",1.0,0.25,0.6,6,77.78,D#/Eb
"(1.0, 0.3, 0.6)",1.0,0.3,0.6,6,77.78,D#/Eb
"(1.0, 0.35, 0.6)",1.0,0.35,0.6,6,77.78,D#/Eb
"(1.0, 0.4, 0.6)",1.0,0.4,0.6,6,77.78,D#/Eb
"(1.0, 0.45, 0.6)",1.0,0.45,0.6,6,77.78,D#/Eb
"(1.0, 0.5, 0.6)",1.0,0.5,0.6,6,77.78,D#/Eb
"(1.0, 0.55, 0.6)",1.0,0.55,0.6,6,77.78,D#/Eb
"(1.0, 0.0, 0.5)",1.0,0.0,0.5,7,82.41,E
"(1.0, 0.0, 0.55)",1.0,0.0,0.55,7,82.41,E
"(1.0, 0.05, 0.5)",1.0,0.05,0.5,7,82.41,E
"(1.0, 0.05, 0.55)",1.0,0.05,0.55,7,82.41,E
"(1.0, 0.1, 0.5)",1.0,0.1,0.5,7,82.41,E
"(1.0, 0.1, 0.55)",1.0,0.1,0.55,7,82.41,E
"(1.0, 0.15, 0.5)",1.0,0.15,0.5,7,82.41,E
"(1.0, 0.15, 0.55)",1.0,0.15,0.55,7,82.41,E
"(1.0, 0.2, 0.5)",1.0,0.2,0.5,7,82.41,E
"(1.0, 0.2, 0.55)",1.0,0.2,0.55,7,82.41,E
"(1.0, 0.25, 0.5)",1.0,0.25,0.5,7,82.41,E
"(1.0, 0.25, 0.55)",1.0,0.25,0.55,7,82.41,E
"(1.0, 0.3, 0.5)",1.0,0.3,0.5,7,82.41,E
"(1.0, 0.3, 0.55)",1.0,0.3,0.55,7,82.41,E
"(1.0, 0.35, 0.5)",1.0,0.35,0.5,7,82.41,E
"(1.0, 0.35, 0.55)",1.0,0.35,0.55,7,82.41,E
"(1.0, 0.4, 0.5)",1.0,0.4,0.5,7,82.41,E
"(1.0, 0.4, 0.55)",1.0,0.4,0.55,7,82.41,E
"(1.0, 0.45, 0.5)",1.0,0.45,0.5,7,82.41,E
"(1.0, 0.45, 0.55)",1.0,0.45,0.55,7,82.41,E
"(1.0, 0.5, 0.55)",1.0,0.5,0.55,7,82.41,E
"(1.0, 0.0, 0.45)",1.0,0.0,0.45,8,87.31,F
"(1.0, 0.05, 0.45)",1.0,0.05,0.45,8,87.31,F
"(1.0, 0.1, 0.45)",1.0,0.1,0.45,8,87.31,F
"(1.0, 0.15, 0.45)",1.0,0.15,0.45,8,87.31,F
"(1.0, 0.2, 0.45)",1.0,0.2,0.45,8,87.31,F
"(1.0, 0.25, 0.45)",1.0,0.25,0.45,8,87.31,F
"(1.0, 0.3, 0.45)",1.0,0.3,0.45,8,87.31,F
"(1.0, 0.35, 0.45)",1.0,0.35,0.45,8,87.31,F
"(1.0, 0.4, 0.45)",1.0,0.4,0.45,8,87.31,F
"(1.0, 0.0, 0.4)",1.0,0.0,0.4,9,92.5,F#/Gb
"(1.0, 0.05, 0.4)",1.0,0.05,0.4,9,92.5,F#/Gb
"(1.0, 0.1, 0.4)",1.0,0.1,0.4,9,92.5,F#/Gb
"(1.0, 0.15, 0.4)",1.0,0.15,0.4,9,92.5,F#/Gb
"(1.0, 0.2, 0.4)",1.0,0.2,0.4,9,92.5,F#/Gb
"(1.0, 0.25, 0.4)",1.0,0.25,0.4,9,92.5,F#/Gb
"(1.0, 0.3, 0.4)",1.0,0.3,0.4,9,92.5,F#/Gb
"(1.0, 0.35, 0.4)",1.0,0.35,0.4,9,92.5,F#/Gb
"(1.0, 0.0, 0.3)",1.0,0.0,0.3,10,98.0,G
"(1.0, 0.0, 0.35)",1.0,0.0,0.35,10,98.0,G
"(1.0, 0.05, 0.3)",1.0,0.05,0.3,10,98.0,G
"(1.0, 0.05, 0.35)",1.0,0.05,0.35,10,98.0,G
"(1.0, 0.1, 0.3)",1.0,0.1,0.3,10,98.0,G
"(1.0, 0.1, 0.35)",1.0,0.1,0.35,10,98.0,G
"(1.0, 0.15, 0.3)",1.0,0.15,0.3,10,98.0,G
"(1.0, 0.15, 0.35)",1.0,0.15,0.35,10,98.0,G
"(1.0, 0.2, 0.3)",1.0,0.2,0.3,10,98.0,G
"(1.0, 0.2, 0.35)",1.0,0.2,0.35,10,98.0,G
"(1.0, 0.25, 0.3)",1.0,0.25,0.3,10,98.0,G
"(1.0, 0.25, 0.35)",1.0,0.25,0.35,10,98.0,G
"(1.0, 0.3, 0.35)",1.0,0.3,0.35,10,98.0,G
"(1.0, 0.0, 0.25)",1.0,0.0,0.25,11,103.83,G#/Ab
"(1.0, 0.05, 0.25)",1.0,0.05,0.25,11,103.83,G#/Ab
"(1.0, 0.1, 0.25)",1.0,0.1,0.25,11,103.83,G#/Ab
"(1.0, 0.15, 0.25)",1.0,0.15,0.25,11,103.83,G#/Ab
"(1.0, 0.2, 0.25)",1.0,0.2,0.25,11,103.83,G#/Ab
"(1.0, 0.0, 0.15)",1.0,0.0,0.15,12,110.0,A
"(1.0, 0.0, 0.2)",1.0,0.0,0.2,12,110.0,A
"(1.0, 0.05, 0.15)",1.0,0.05,0.15,12,110.0,A
"(1.0, 0.05, 0.2)",1.0,0.05,0.2,12,110.0,A
"(1.0, 0.1, 0.15)",1.0,0.1,0.15,12,110.0,A
"(1.0, 0.1, 0.2)",1.0,0.1,0.2,12,110.0,A
"(1.0, 0.15, 0.2)",1.0,0.15,0.2,12,110.0,A
"(1.0, 0.0, 0.1)",1.0,0.0,0.1,13,116.54,A#/Bb
"(1.0, 0.05, 0.1)",1.0,0.05,0.1,13,116.54,A#/Bb
"(1.0, 0.0, 0.05)",1.0,0.0,0.05,14,123.47,B
"(1.0, 0.0, 0.0)",1.0,0.0,0.0,15,130.81,C
"(1.0, 0.05, 0.0)",1.0,0.05,0.0,15,130.81,C
"(1.0, 0.05, 0.05)",1.0,0.05,0.05,15,130.81,C
"(1.0, 0.1, 0.0)",1.0,0.1,0.0,16,138.59,C#/Db
"(1.0, 0.1, 0.05)",1.0,0.1,0.05,16,138.59,C#/Db
"(1.0, 0.1, 0.1)",1.0,0.1,0.1,16,138.59,C#/Db
"(1.0, 0.15, 0.0)",1.0,0.15,0.0,17,146.83,D
"(1.0, 0.15, 0.05)",1.0,0.15,0.05,17,146.83,D
"(1.0, 0.15, 0.1)",1.0,0.15,0.1,17,146.83,D
"(1.0, 0.15, 0.15)",1.0,0.15,0.15,17,146.83,D
"(1.0, 0.2, 0.0)",1.0,0.2,0.0,18,155.56,D#/Eb
"(1.0, 0.2, 0.05)",1.0,0.2,0.05,18,155.56,D#/Eb
"(1.0, 0.2, 0.1)",1.0,0.2,0.1,18,155.56,D#/Eb
"(1.0, 0.2, 0.15)",1.0,0.2,0.15,18,155.56,D#/Eb
"(1.0, 0.2, 0.2)",1.0,0.2,0.2,18,155.56,D#/Eb
"(1.0, 0.25, 0.0)",1.0,0.25,0.0,18,155.56,D#/Eb
"(1.0, 0.25, 0.05)",1.0,0.25,0.05,18,155.56,D#/Eb
"(1.0, 0.25, 0.1)",1.0,0.25,0.1,18,155.56,D#/Eb
"(1.0, 0.25, 0.15)",1.0,0.25,0.15,18,155.56,D#/Eb
"(1.0, 0.25, 0.2)",1.0,0.25,0.2,18,155.56,D#/Eb
"(1.0, 0.25, 0.25)",1.0,0.25,0.25,18,155.56,D#/Eb
"(1.0, 0.3, 0.0)",1.0,0.3,0.0,19,164.81,E
"(1.0, 0.3, 0.05)",1.0,0.3,0.05,19,164.81,E
"(1.0, 0.3, 0.1)",1.0,0.3,0.1,19,164.81,E
"(1.0, 0.3, 0.15)",1.0,0.3,0.15,19,164.81,E
"(1.0, 0.3, 0.2)",1.0,0.3,0.2,19,164.81,E
"(1.0, 0.3, 0.25)",1.0,0.3,0.25,19,164.81,E
"(1.0, 0.3, 0.3)",1.0,0.3,0.3,19,164.81,E
"(1.0, 0.35, 0.0)",1.0,0.35,0.0,20,174.61,F
"(1.0, 0.35, 0.05)",1.0,0.35,0.05,20,174.61,F
"(1.0, 0.35, 0.1)",1.0,0.35,0.1,20,174.61,F
"(1.0, 0.35, 0.15)",1.0,0.35,0.15,20,174.61,F
"(1.0, 0.35, 0.2)",1.0,0.35,0.2,20,174.61,F
"(1.0, 0.35, 0.25)",1.0,0.35,0.25,20,174.61,F
"(1.0, 0.35, 0.3)",1.0,0.35,0.3,20,174.61,F
"(1.0, 0.35, 0.35)",1.0,0.35,0.35,20,174.61,F
"(1.0, 0.4, 0.0)",1.0,0.4,0.0,21,185.0,F#/Gb
"(1.0, 0.4, 0.05)",1.0,0.4,0.05,21,185.0,F#/Gb
"(1.0, 0.4, 0.1)",1.0,0.4,0.1,21,185.0,F#/Gb
"(1.0, 0.4, 0.15)",1.0,0.4,0.15,21,185.0,F#/Gb
"(1.0, 0.4, 0.2)",1.0,0.4,0.2,21,185.0,F#/Gb
"(1.0, 0.4, 0.25)",1.0,0.4,0.25,21,185.0,F#/Gb
"(1.0, 0.4, 0.3)",1.0,0.4,0.3,21,185.0,F#/Gb
"(1.0, 0.4, 0.35)",1.0,0.4,0.35,21,185.0,F#/Gb
"(1.0, 0.4, 0.4)",1.0,0.4,0.4,21,185.0,F#/Gb
"(1.0, 0.45, 0.0)",1.0,0.45,0.0,21,185.0,F#/Gb
"(1.0, 0.45, 0.05)",1.0,0.45,0.05,21,185.0,F#/Gb
"(1.0, 0.45, 0.1)",1.0,0.45,0.1,21,185.0,F#/Gb
"(1.0, 0.45, 0.15)",1.0,0.45,0.15,21,185.0,F#/Gb
"(1.0, 0.45, 0.2)",1.0,0.45,0.2,21,185.0,F#/Gb
"(1.0, 0.45, 0.25)",1.0,0.45,0.25,21,185.0,F#/Gb
"(1.0, 0.45, 0.3)",1.0,0.45,0.3,21,185.0,F#/Gb
"(1.0, 0.45, 0.35)",1.0,0.45,0.35,21,185.0,F#/Gb
"(1.0, 0.45, 0.4)",1.0,0.45,0.4,21,185.0,F#/Gb
"(1.0, 0.45, 0.45)",1.0,0.45,0.45,21,185.0,F#/Gb
"(1.0, 0.5, 0.0)",1.0,0.5,0.0,22,196.0,G
"(1.0, 0.5, 0.05)",1.0,0.5,0.05,22,196.0,G
"(1.0, 0.5, 0.1)",1.0,0.5,0.1,22,196.0,G
"(1.0, 0.5, 0.15)",1.0,0.5,0.15,22,196.0,G
"(1.0, 0.5, 0.2)",1.0,0.5,0.2,22,196.0,G
"(1.0, 0.5, 0.25)",1.0,0.5,0.25,22,196.0,G
"(1.0, 0.5, 0.3)",1.0,0.5,0.3,22,196.0,G
"(1.0, 0.5, 0.35)",1.0,0.5,0.35,22,196.0,G
"(1.0, 0.5, 0.4)",1.0,0.5,0.4,22,196.0,G
"(1.0, 0.5, 0.45)",1.0,0.5,0.45,22,196.0,G
"(1.0, 0.5, 0.5)",1.0,0.5,0.5,22,196.0,G
"(1.0, 0.55, 0.0)",1.0,0.55,0.0,23,207.65,G#/Ab
"(1.0, 0.55, 0.05)",1.0,0.55,0.05,23,207.65,G#/Ab
"(1.0, 0.55, 0.1)",1.0,0.55,0.1,23,207.65,G#/Ab
"(1.0, 0.55, 0.15)",1.0,0.55,0.15,23,207.65,G#/Ab
"(1.0, 0.55, 0.2)",1.0,0.55,0.2,23,207.65,G#/Ab
"(1.0, 0.55, 0.25)",1.0,0.55,0.25,23,207.65,G#/Ab
"(1.0, 0.55, 0.3)",1.0,0.55,0.3,23,207.65,G#/Ab
"(1.0, 0.55, 0.35)",1.0,0.55,0.35,23,207.65,G#/Ab
"(1.0, 0.55, 0.4)",1.0,0.55,0.4,23,207.65,G#/Ab
"(1.0, 0.55, 0.45)",1.0,0.55,0.45,23,207.65,G#/Ab
"(1.0, 0.55, 0.5)",1.0,0.55,0.5,23,207.65,G#/Ab
"(1.0, 0.55, 0.55)",1.0,0.55,0.55,23,207.65,G#/Ab
"(1.0, 0.6, 0.0)",1.0,0.6,0.0,23,207.65,G#/Ab
"(1.0, 0.6, 0.05)",1.0,0.6,0.05,23,207.65,G#/Ab
"(1.0, 0.6, 0.1)",1.0,0.6,0.1,23,207.65,G#/Ab
"(1.0, 0.6, 0.15)",1.0,0.6,0.15,23,207.65,G#/Ab
"(1.0, 0.6, 0.2)",1.0,0.6,0.2,23,207.65,G#/Ab
"(1.0, 0.6, 0.25)",1.0,0.6,0.25,23,207.65,G#/Ab
"(1.0, 0.6, 0.3)",1.0,0.6,0.3,23,207.65,G#/Ab
"(1.0, 0.6, 0.35)",1.0,0.6,0.35,23,207.65,G#/Ab
"(1.0, 0.6, 0.4)",1.0,0.6,0.4,23,207.65,G#/Ab
"(1.0, 0.6, 0.45)",1.0,0.6,0.45,23,207.65,G#/Ab
"(1.0, 0.6, 0.5)",1.0,0.6,0.5,23,207.65,G#/Ab
"(1.0, 0.6, 0.55)",1.0,0.6,0.55,23,207.65,G#/Ab
"(1.0, 0.6, 0.6)",1.0,0.6,0.6,23,207.65,G#/Ab
"(1.0, 0.65, 0.0)",1.0,0.65,0.0,24,220.0,A
"(1.0, 0.65, 0.05)",1.0,0.65,0.05,24,220.0,A
"(1.0, 0.65, 0.1)",1.0,0.65,0.1,24,220.0,A
"(1.0, 0.65, 0.15)",1.0,0.65,0.15,24,220.0,A
"(1.0, 0.65, 0.2)",1.0,0.65,0.2,24,220.0,A
"(1.0, 0.65, 0.25)",1.0,0.65,0.25,24,220.0,A
"(1.0, 0.65, 0.3)",1.0,0.65,0.3,24,220.0,A
"(1.0, 0.65, 0.35)",1.0,0.65,0.35,24,220.0,A
"(1.0, 0.65, 0.4)",1.0,0.65,0.4,24,220.0,A
"(1.0, 0.65, 0.45)",1.0,0.65,0.45,24,220.0,A
"(1.0, 0.65, 0.5)",1.0,0.65,0.5,24,220.0,A
"(1.0, 0.65, 0.55)",1.0,0.65,0.55,24,220.0,A
"(1.0, 0.65, 0.6)",1.0,0.65,0.6,24,220.0,A
"(1.0, 0.65, 0.65)",1.0,0.65,0.65,24,220.0,A
"(1.0, 0.7, 0.0)",1.0,0.7,0.0,25,233.08,A#/Bb
"(1.0, 0.7, 0.05)",1.0,0.7,0.05,25,233.08,A#/Bb
"(1.0, 0.7, 0.1)",1.0,0.7,0.1,25,233.08,A#/Bb
"(1.0, 0.7, 0.15)",1.0,0.7,0.15,25,233.08,A#/Bb
"(1.0, 0.7, 0.2)",1.0,0.7,0.2,25,233.08,A#/Bb
"(1.0, 0.7, 0.25)",1.0,0.7,0.25,25,233.08,A#/Bb
"(1.0, 0.7, 0.3)",1.0,0.7,0.3,25,233.08,A#/Bb
"(1.0, 0.7, 0.35)",1.0,0.7,0.35,25,233.08,A#/Bb
"(1.0, 0.7, 0.4)",1.0,0.7,0.4,25,233.08,A#/Bb
"(1.0, 0.7, 0.45)",1.0,0.7,0.45,25,233.08,A#/Bb
"(1.0, 0.7, 0.5)",1.0,0.7,0.5,25,233.08,A#/Bb
"(1.0, 0.7, 0.55)",1.0,0.7,0.55,25,233.08,A#/Bb
"(1.0, 0.7, 0.6)",1.0,0.7,0.6,25,233.08,A#/Bb
"(1.0, 0.7, 0.65)",1.0,0.7,0.65,25,233.08,A#/Bb
"(1.0, 0.7, 0.7)",1.0,0.7,0.7,25,233.08,A#/Bb
"(1.0, 0.75, 0.0)",1.0,0.75,0.0,26,246.94,B
"(1.0, 0.75, 0.05)",1.0,0.75,0.05,26,246.94,B
"(1.0, 0.75, 0.1)",1.0,0.75,0.1,26,246.94,B
"(1.0, 0.75, 0.15)",1.0,0.75,0.15,26,246.94,B
"(1.0, 0.75, 0.2)",1.0,0.75,0.2,26,246.94,B
"(1.0, 0.75, 0.25)",1.0,0.75,0.25,26,246.94,B
"(1.0, 0.75, 0.3)",1.0,0.75,0.3,26,246.94,B
"(1.0, 0.75, 0.35)",1.0,0.75,0.35,26,246.94,B
"(1.0, 0.75, 0.4)",1.0,0.75,0.4,26,246.94,B
"(1.0, 0.75, 0.45)",1.0,0.75,0.45,26,246.94,B
"(1.0, 0.75, 0.5)",1.0,0.75,0.5,26,246.94,B
"(1.0, 0.75, 0.55)",1.0,0.75,0.55,26,246.94,B
"(1.0, 0.75, 0.6)",1.0,0.75,0.6,26,246.94,B
"(1.0, 0.75, 0.65)",1.0,0.75,0.65,26,246.94,B
"(1.0, 0.75, 0.7)",1.0,0.75,0.7,26,246.94,B
"(1.0, 0.75, 0.75)",1.0,0.75,0.75,26,246.94,B
"(1.0, 0.8, 0.0)",1.0,0.8,0.0,26,246.94,B
"(1.0, 0.8, 0.05)",1.0,0.8,0.05,26,246.94,B
"(1.0, 0.8, 0.1)",1.0,0.8,0.1,26,246.94,B
"(1.0, 0.8, 0.15)",1.0,0.8,0.15,26,246.94,B
"(1.0, 0.8, 0.2)",1.0,0.8,0.2,26,246.94,B
"(1.0, 0.8, 0.25)",1.0,0.8,0.25,26,246.94,B
"(1.0, 0.8, 0.3)",1.0,0.8,0.3,26,246.94,B
"(1.0, 0.8, 0.35)",1.0,0.8,0.35,26,246.94,B
"(1.0, 0.8, 0.4)",1.0,0.8,0.4,26,246.94,B
